Country Code,Country Name,Male Female Ratio,No Of Men Partcp,No Of Players Partcp,No Of Players Won,No Of Plyers Lost,No Of Women Partcp,Number of Records,Olympic Id,Olympic Year,Total Bronze Medals,Total Gold Medals,Total No Of Medals,Total Silver Medals
HUN,Hungary,,0,1,0,1,1,1,O5,2016,0,0,0,0
,,,0,2,0,2,2,1,O3,2012,0,0,0,0
EGY,Egypt,,0,1,0,1,1,1,O1,2008,0,0,0,0
EGY,Egypt,,0,1,0,1,1,1,O3,2012,0,0,0,0
KAZ,Kazakhstan,,1,1,0,1,0,1,O5,2016,0,0,0,0
MAR,Morocco,,1,1,0,1,0,1,O3,2012,0,0,0,0
EGY,Egypt,,1,1,0,1,0,1,O1,2008,0,0,0,0
EGY,Egypt,,1,1,0,1,0,1,O3,2012,0,0,0,0
UGA,Uganda,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
BRN,Bahrain,,1,1,0,1,0,1,O5,2016,0,0,0,0
UGA,Uganda,,1,1,0,1,0,1,O3,2012,0,0,0,0
FRA,France,,1,1,0,1,0,1,O3,2012,0,0,0,0
PAR,Paraguay,,1,1,0,1,0,1,O3,2012,0,0,0,0
BRN,Bahrain,,1,1,0,1,0,1,O5,2016,0,0,0,0
BDI,Burundi,,1,1,0,1,0,1,O5,2016,0,0,0,0
ERI,Eritrea,,1,1,0,1,0,1,O3,2012,0,0,0,0
ERI,Eritrea,,1,1,0,1,0,1,O5,2016,0,0,0,0
ETH,Ethiopia,,1,1,0,1,0,1,O1,2008,0,0,0,0
BRN,Bahrain,,1,1,0,1,0,1,O5,2016,0,0,0,0
QAT,Qatar,,1,1,0,1,0,1,O1,2008,0,0,0,0
QAT,Qatar,,1,1,0,1,0,1,O5,2016,0,0,0,0
SUD,Sudan,,1,1,0,1,0,1,O1,2008,0,0,0,0
SUD,Sudan,,1,1,0,1,0,1,O3,2012,0,0,0,0
KAZ,Kazakhstan,,1,1,0,1,0,1,O4,2014,0,0,0,0
KAZ,Kazakhstan,,1,1,0,1,0,1,O2,2010,0,0,0,0
KAZ,Kazakhstan,,1,1,0,1,0,1,O4,2014,0,0,0,0
,,,1,1,1,0,0,1,O1,2008,0,0,1,1
