Event Id,Event Name,Number of Records,Sports Id
E1,Alpine Skiing Men's Combined,1,S1
E2,Alpine Skiing Men's Downhill,1,S1
E3,Alpine Skiing Men's Giant Slalom,1,S1
E4,Alpine Skiing Men's Slalom,1,S1
E5,Alpine Skiing Men's Super G,1,S1
E6,Alpine Skiing Women's Combined,1,S1
E7,Alpine Skiing Women's Downhill,1,S1
E8,Alpine Skiing Women's Giant Slalom,1,S1
E9,Alpine Skiing Women's Slalom,1,S1
E10,Alpine Skiing Women's Super G,1,S1
E11,Archery Men's Individual,1,S2
E12,Archery Men's Team,1,S2
E13,Archery Women's Individual,1,S2
E14,Archery Women's Team,1,S2
E15,"Athletics Men's 1,500 metres",1,S3
E16,"Athletics Men's 10,000 metres",1,S3
E17,Athletics Men's 100 metres,1,S3
E18,Athletics Men's 110 metres Hurdles,1,S3
E19,Athletics Men's 20 kilometres Walk,1,S3
E20,Athletics Men's 200 metres,1,S3
E21,"Athletics Men's 3,000 metres Steeplechase",1,S3
E22,Athletics Men's 4 x 100 metres Relay,1,S3
E23,Athletics Men's 4 x 400 metres Relay,1,S3
E24,Athletics Men's 400 metres,1,S3
E25,Athletics Men's 400 metres Hurdles,1,S3
E26,"Athletics Men's 5,000 metres",1,S3
E27,Athletics Men's 50 kilometres Walk,1,S3
E28,Athletics Men's 800 metres,1,S3
E29,Athletics Men's Decathlon,1,S3
E30,Athletics Men's Discus Throw,1,S3
E31,Athletics Men's Hammer Throw,1,S3
E32,Athletics Men's High Jump,1,S3
E33,Athletics Men's Javelin Throw,1,S3
E34,Athletics Men's Long Jump,1,S3
E35,Athletics Men's Marathon,1,S3
E36,Athletics Men's Pole Vault,1,S3
E37,Athletics Men's Shot Put,1,S3
E38,Athletics Men's Triple Jump,1,S3
E39,"Athletics Women's 1,500 metres",1,S3
E40,"Athletics Women's 10,000 metres",1,S3
E41,Athletics Women's 100 metres,1,S3
E42,Athletics Women's 100 metres Hurdles,1,S3
E43,Athletics Women's 20 kilometres Walk,1,S3
E44,Athletics Women's 200 metres,1,S3
E45,"Athletics Women's 3,000 metres Steeplechase",1,S3
E46,Athletics Women's 4 x 100 metres Relay,1,S3
E47,Athletics Women's 4 x 400 metres Relay,1,S3
E48,Athletics Women's 400 metres,1,S3
E49,Athletics Women's 400 metres Hurdles,1,S3
E50,"Athletics Women's 5,000 metres",1,S3
E51,Athletics Women's 800 metres,1,S3
E52,Athletics Women's Discus Throw,1,S3
E53,Athletics Women's Hammer Throw,1,S3
E54,Athletics Women's Heptathlon,1,S3
E55,Athletics Women's High Jump,1,S3
E56,Athletics Women's Javelin Throw,1,S3
E57,Athletics Women's Long Jump,1,S3
E58,Athletics Women's Marathon,1,S3
E59,Athletics Women's Pole Vault,1,S3
E60,Athletics Women's Shot Put,1,S3
E61,Athletics Women's Triple Jump,1,S3
E62,Badminton Men's Doubles,1,S4
E63,Badminton Men's Singles,1,S4
E64,Badminton Mixed Doubles,1,S4
E65,Badminton Women's Doubles,1,S4
E66,Badminton Women's Singles,1,S4
E67,Baseball Men's Baseball,1,S5
E68,Basketball Men's Basketball,1,S6
E69,Basketball Women's Basketball,1,S6
E70,Beach Volleyball Men's Beach Volleyball,1,S7
E71,Beach Volleyball Women's Beach Volleyball,1,S7
E72,Biathlon Men's 10 kilometres Sprint,1,S8
E73,Biathlon Men's 12.5 kilometres Pursuit,1,S8
E74,Biathlon Men's 15 kilometres Mass Start,1,S8
E75,Biathlon Men's 20 kilometres,1,S8
E76,Biathlon Men's 4 x 7.5 kilometres Relay,1,S8
E77,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,1,S8
E78,Biathlon Women's 10 kilometres Pursuit,1,S8
E79,Biathlon Women's 12.5 kilometres Mass Start,1,S8
E80,Biathlon Women's 15 kilometres,1,S8
