BMI,Country Code,Event Id,Medal Id,Number of Records,Olympic Id,Player Fact Id,Player Height,Player Id,Player Weight,Sport Id
84.0000000,ITA,E70,M3,1,O5,346374,183,267.00000000000,84,S7
75.0000000,AUT,E310,M3,1,O4,346375,186,268.00000000000,75,S38
73.0000000,ROU,E377,M3,1,O3,346376,178,269.00000000000,73,S45
73.0000000,ROU,E378,M3,1,O3,346377,178,269.00000000000,73,S45
65.0000000,BRA,E69,M3,1,O1,346378,170,270.00000000000,65,S6
65.0000000,BRA,E69,M3,1,O3,346379,170,270.00000000000,65,S6
65.0000000,BRA,E69,M3,1,O5,346380,170,270.00000000000,65,S6
52.0000000,BRA,E58,M3,1,O3,346381,166,271.00000000000,52,S3
52.0000000,BRA,E58,M3,1,O5,346382,166,271.00000000000,52,S3
75.0000000,VEN,E375,M3,1,O1,346383,177,272.00000000000,75,S44
60.0000000,MEX,E385,M3,1,O1,346384,170,273.00000000000,60,S47
79.0000000,RSA,E260,M3,1,O1,346385,180,274.00000000000,79,S31
67.0000000,BRA,E272,M3,1,O3,346386,171,275.00000000000,67,S33
65.0000000,ROU,E217,M3,1,O1,346387,172,276.00000000000,65,S23
59.0000000,MEX,E352,M3,1,O1,346388,165,277.00000000000,59,S41
59.0000000,MEX,E348,M3,1,O1,346389,165,277.00000000000,59,S41
65.0000000,ESP,E13,M3,1,O5,346390,162,278.00000000000,65,S2
50.0000000,PUR,E367,M3,1,O5,346391,160,279.00000000000,50,S43
60.0000000,BRA,E98,M1,1,O3,346392,167,280.00000000000,60,S10
60.0000000,BRA,E98,M3,1,O5,346393,167,280.00000000000,60,S10
58.0000000,INA,E66,M3,1,O3,346394,170,281.00000000000,58,S4
130.000000,ALB,E37,M3,1,O3,346395,194,282.00000000000,130,S3
73.0000000,FRA,E120,M3,1,O4,346396,178,283.00000000000,73,S12
84.0000000,FRA,E103,M3,1,O5,346397,185,284.00000000000,84,S11
77.0000000,BEL,E18,M3,1,O3,346398,185,285.00000000000,77,S3
105.000000,FRA,E216,M4,1,O5,346399,202,286.00000000000,105,S23
87.0000000,FRA,E250,M3,1,O1,346400,197,287.00000000000,87,S31
87.0000000,FRA,E253,M3,1,O3,346401,197,287.00000000000,87,S31
75.0000000,FRA,E365,M3,1,O3,346402,188,288.00000000000,75,S43
68.0000000,RWA,E139,M3,1,O3,346403,165,289.00000000000,68,S14
